name;club;games_played;games_started;mins;goals;left_footed_shots;right_footed_shots;goals_average_over_90_minutes;headed_shots;penalty_kick_goals;penalty_kick_taken;expected_goals;total_scoring_attempts;on_target_scoring_attempts;accurate_shooting_percentage;shots_conversion;offside;corner_kicks;goals_plus_assists
camilo-sanvezzo;VAN;32;27;2418;22;0;0;0.82;0;5;5;0;123;55;44.7;17.9;17;65;28
marco-di-vaio;MTL;33;31;2746;20;0;0;0.66;0;0;0;0;118;53;44.9;16.9;78;3;22
robbie-keane;LA;23;22;1980;16;0;0;0.73;0;5;5;0;65;29;44.6;24.6;17;1;27
mike-magee;CHI;22;22;1901;15;0;0;0.71;0;3;4;0;78;37;47.4;19.2;3;89;19
diego-fagundez;NE;31;28;2427;13;0;0;0.48;0;0;0;0;55;29;52.7;23.6;3;4;20
dominic-oduro;CLB;34;34;2854;13;0;0;0.41;0;0;0;0;92;36;39.1;14.1;25;0;17
jack-mcinerney;PHI;31;25;2209;12;0;0;0.49;0;0;0;0;86;30;34.9;13.9;18;0;12
alvaro-saborio;RSL;16;15;1346;12;0;0;0.8;0;4;5;0;53;21;39.6;22.6;20;0;14
tim-cahill;RBNY;27;27;2243;11;0;0;0.44;0;0;0;0;55;21;38.2;20;13;0;16
federico-higuain;CLB;29;29;2592;11;0;0;0.38;0;6;8;0;86;31;36;12.8;16;123;20
blas-perez;DAL;25;21;2019;11;0;0;0.49;0;0;0;0;56;29;51.8;19.6;16;0;14
chris-wondolowski;SJ;29;29;2610;11;0;0;0.38;0;1;1;0;101;44;43.6;10.9;14;1;14
claudio-bieler;SKC;28;25;2109;10;0;0;0.43;0;3;3;0;70;27;38.6;14.3;12;0;14
deshorn-brown;COL;31;24;2169;10;0;0;0.41;0;1;2;0;97;30;30.9;10.3;29;1;14
conor-casey;PHI;31;25;2201;10;0;0;0.41;0;0;0;0;64;26;40.6;15.6;25;0;15
landon-donovan;LA;22;21;1874;10;0;0;0.48;0;0;2;0;38;19;50;26.3;5;108;19
thierry-henry;RBNY;30;27;2519;10;0;0;0.36;0;0;0;0;92;29;31.5;10.9;23;85;19
diego-valeri;POR;31;28;2277;10;0;0;0.4;0;1;1;0;72;26;36.1;13.9;10;92;23
giles-barnes;HOU;33;32;2561;9;0;0;0.32;0;0;1;0;94;29;30.9;9.6;19;2;13
fabian-espindola;RBNY;28;23;2054;9;0;0;0.39;0;2;2;0;48;26;54.2;18.8;22;0;11
ryan-johnson;POR;29;21;1770;9;0;0;0.46;0;0;0;0;43;22;51.2;20.9;24;0;13
will-johnson;POR;28;28;2520;9;0;0;0.32;0;2;2;0;55;20;36.4;16.4;3;56;14
eddie-johnson;SEA;21;20;1725;9;0;0;0.47;0;0;0;0;51;27;52.9;17.6;42;0;11
darlington-nagbe;POR;34;34;2848;9;0;0;0.28;0;0;0;0;62;24;38.7;14.5;6;1;13
will-bruin;HOU;30;30;2596;8;0;0;0.28;0;0;0;0;98;30;30.6;8.2;8;0;15
robert-earnshaw;TOR;26;23;1883;8;0;0;0.38;0;2;2;0;69;22;31.9;11.6;24;0;8
obafemi-martins;SEA;20;17;1466;8;0;0;0.49;0;0;0;0;43;16;37.2;18.6;7;0;12
kenny-miller;VAN;21;19;1643;8;0;0;0.44;0;1;1;0;41;15;36.6;19.5;11;4;9
javier-morales;RSL;28;25;2281;8;0;0;0.32;0;2;2;0;46;18;39.1;17.4;6;108;18
lamar-neagle;SEA;30;27;2409;8;0;0;0.3;0;0;0;0;61;25;41;13.1;16;16;12
juan-agudelo;NE;14;11;1021;7;0;0;0.62;0;0;0;0;23;11;47.8;30.4;11;0;8
kei-kamara;SKC;15;10;1022;7;0;0;0.62;0;1;1;0;42;13;30.9;16.7;5;1;9
kelyn-rowe;NE;33;26;2528;7;0;0;0.25;0;0;0;0;74;21;28.4;9.5;3;24;15
erick-torres;CHV;15;15;1349;7;0;0;0.47;0;1;1;0;45;21;46.7;15.6;6;0;8
rodney-wallace;POR;27;21;1972;7;0;0;0.32;0;0;0;0;49;18;36.7;14.3;11;0;13
kenny-cooper;DAL;31;19;1741;6;0;0;0.31;0;2;3;0;45;21;46.7;13.3;23;0;7
robbie-findley;RSL;25;17;1260;6;0;0;0.43;0;0;0;0;36;15;41.7;16.7;10;0;8
mike-magee;LA;10;10;892;6;0;0;0.61;0;1;1;0;36;13;36.1;16.7;5;5;6
kekuta-manneh;VAN;20;6;764;6;0;0;0.71;0;0;0;0;38;15;39.5;15.8;14;2;8
graham-zusi;SKC;27;26;2357;6;0;0;0.23;0;0;0;0;50;19;38;12;7;128;14
edson-buddle;COL;24;19;1664;5;0;0;0.27;0;0;0;0;56;17;30.4;8.9;11;0;8
olmes-garcia;RSL;24;8;996;5;0;0;0.45;0;0;0;0;33;15;45.5;15.2;7;0;9
luis-gil;RSL;30;24;2060;5;0;0;0.22;0;0;0;0;36;13;36.1;13.9;2;8;8
ned-grabavoy;RSL;32;29;2688;5;0;0;0.17;0;0;0;0;29;10;34.5;17.2;3;7;10
atiba-harris;COL;29;24;2012;5;0;0;0.22;0;0;0;0;51;16;31.4;9.8;12;0;6
felipe-martins;MTL;32;28;2350;5;0;0;0.19;0;0;0;0;55;24;43.6;9.1;5;33;13
jonathan-osorio;TOR;28;18;1697;5;0;0;0.27;0;0;0;0;28;8;28.6;17.9;2;35;6
dillon-powers;COL;30;29;2457;5;0;0;0.18;0;0;0;0;27;11;40.7;18.5;1;72;11
lloyd-sam;RBNY;22;8;814;5;0;0;0.55;0;0;0;0;7;5;71.4;71.4;3;3;6
saer-sene;NE;24;14;1217;5;0;0;0.37;0;0;1;0;41;18;43.9;12.2;8;0;10
jonny-steele;RBNY;33;32;2665;5;0;0;0.17;0;0;0;0;46;15;32.6;10.9;12;5;11
eric-alexander;RBNY;34;30;2504;4;0;0;0.14;0;0;0;0;33;9;27.3;12.1;0;0;6
bernardo-anor;CLB;20;19;1663;4;0;0;0.22;0;0;0;0;53;17;32.1;7.5;4;1;5
kyle-beckerman;RSL;26;26;2281;4;0;0;0.16;0;0;0;0;46;17;37;8.7;0;15;10
patrice-bernier;MTL;31;28;2474;4;0;0;0.15;0;4;4;0;23;7;30.4;17.4;0;13;12
ricardo-clark;HOU;30;29;2517;4;0;0;0.14;0;0;0;0;46;11;23.9;8.7;3;0;8
brad-davis;HOU;26;25;2204;4;0;0;0.16;0;1;2;0;40;19;47.5;10;5;115;13
dilly-duka;CHI;31;24;1788;4;0;0;0.2;0;0;0;0;62;28;45.2;6.5;1;14;7
brad-evans;SEA;24;21;1761;4;0;0;0.2;0;2;2;0;37;11;29.7;10.8;7;6;10
alan-gordon;SJ;24;17;1436;4;0;0;0.25;0;0;0;0;40;14;35;10;23;0;7
jordan-harvey;VAN;24;23;2082;4;0;0;0.17;0;0;0;0;10;6;60;40;1;0;5
adam-jahn;SJ;22;11;1059;4;0;0;0.34;0;0;0;0;29;10;34.5;13.8;5;0;4
steven-lenhart;SJ;21;14;1322;4;0;0;0.27;0;0;0;0;35;13;37.1;11.4;12;1;6
dax-mccarty;RBNY;30;29;2582;4;0;0;0.14;0;0;0;0;17;6;35.3;23.5;1;0;8
lee-nguyen;NE;33;32;2838;4;0;0;0.13;0;2;3;0;56;22;39.3;7.1;1;69;11
patrick-nyarko;CHI;30;24;2153;4;0;0;0.17;0;0;0;0;40;16;40;10;13;0;8
jamison-olave;RBNY;29;27;2368;4;0;0;0.15;0;0;0;0;11;6;54.5;36.4;3;0;4
joao-plata;RSL;29;19;1645;4;0;0;0.22;0;0;0;0;50;19;38;8;11;17;12
chris-rolfe;CHI;31;26;2135;4;0;0;0.17;0;0;1;0;69;19;27.5;5.8;8;6;5
mauro-rosales;SEA;33;26;2175;4;0;0;0.17;0;0;0;0;24;7;29.2;16.7;4;100;12
soony-saad;SKC;23;15;1353;4;0;0;0.27;0;0;0;0;58;15;25.9;6.9;3;6;8
cj-sapong;SKC;25;16;1551;4;0;0;0.23;0;0;0;0;33;13;39.4;12.1;5;0;6
marcelo-sarvas;LA;33;33;2897;4;0;0;0.12;0;0;0;0;53;15;28.3;7.5;1;4;10
nathan-sturgis;COL;25;23;2037;4;0;0;0.18;0;0;0;0;27;7;25.9;14.8;0;1;5
gyasi-zardes;LA;27;23;2170;4;0;0;0.17;0;0;0;0;78;23;29.5;5.1;7;1;8
kalif-alhassan;POR;30;15;1324;3;0;0;0.2;0;0;0;0;34;11;32.4;8.8;4;7;6
quincy-amarikwa;CHI;14;0;299;3;0;0;0.9;0;0;0;0;12;7;58.3;25;3;3;3
jairo-arrieta;CLB;26;21;1862;3;0;0;0.15;0;0;0;0;64;18;28.1;4.7;24;0;7
eric-avila;CHV;28;24;2183;3;0;0;0.12;0;0;0;0;27;10;37;11.1;5;13;5
hassoun-camara;MTL;32;32;2874;3;0;0;0.09;0;0;0;0;20;6;30;15;1;0;6
aurelien-collin;SKC;29;29;2565;3;0;0;0.11;0;0;0;0;33;9;27.3;9.1;5;0;4
warren-creavalle;HOU;27;17;1629;3;0;0;0.17;0;0;0;0;22;7;31.8;13.6;0;0;4
dwayne-de-rosario;DC;24;17;1603;3;0;0;0.17;0;1;2;0;59;22;37.3;5.1;25;12;5
mauro-diaz;DAL;10;5;423;3;0;0;0.64;0;0;0;0;11;6;54.5;27.3;1;17;5
andrew-driver;HOU;26;20;1694;3;0;0;0.16;0;0;0;0;24;11;45.8;12.5;3;26;4
benny-feilhaber;SKC;27;22;1774;3;0;0;0.15;0;0;0;0;33;12;36.4;9.1;1;20;7
david-ferreira;DAL;30;26;2419;3;0;0;0.11;0;0;0;0;32;10;31.3;9.4;5;64;12
michel-garbini-pereira;DAL;31;26;2284;3;0;0;0.12;0;1;1;0;29;10;34.5;10.3;1;78;11
boniek-garcia;HOU;22;21;1899;3;0;0;0.14;0;2;2;0;18;5;27.8;16.7;7;45;9
jackson-goncalves;DAL;30;29;2375;3;0;0;0.11;0;0;0;0;61;17;27.9;4.9;10;0;6
matt-hedges;DAL;33;32;2793;3;0;0;0.1;0;0;0;0;13;4;30.8;23.1;1;0;3
antoine-hoppenot;PHI;30;2;732;3;0;0;0.37;0;0;0;0;20;8;40;15;5;0;5
dimitry-imbongo;NE;21;11;1041;3;0;0;0.26;0;0;0;0;30;10;33.3;10;16;0;7
andrew-jacobson;DAL;27;27;2292;3;0;0;0.12;0;0;0;0;40;9;22.5;7.5;4;0;4
hector-jimenez;LA;26;14;1178;3;0;0;0.23;0;0;0;0;20;7;35;15;1;0;7
gershon-koffie;VAN;26;21;1911;3;0;0;0.14;0;0;0;0;25;9;36;12;1;1;6
sebastien-le-toux;PHI;32;25;2222;3;0;0;0.12;0;0;0;0;34;13;38.2;8.8;13;95;15
darren-mattocks;VAN;20;8;911;3;0;0;0.3;0;0;0;0;45;14;31.1;6.7;10;1;4
adam-moffat;HOU;26;24;1947;3;0;0;0.14;0;0;0;0;28;4;14.3;10.7;2;14;4
drew-moor;COL;32;31;2793;3;0;0;0.1;0;0;0;0;18;6;33.3;16.7;0;0;3
amobi-okugo;PHI;32;32;2879;3;0;0;0.09;0;0;0;0;25;6;24;12;3;0;6
ike-opara;SKC;18;15;1397;3;0;0;0.19;0;0;0;0;13;6;46.1;23.1;1;0;3
kyle-porter;DC;27;18;1594;3;0;0;0.17;0;0;0;0;41;13;31.7;7.3;6;54;4
darel-russell;TOR;18;10;924;3;0;0;0.29;0;0;0;0;16;9;56.3;18.8;0;0;3
devon-sandoval;RSL;17;10;885;3;0;0;0.31;0;0;0;0;18;9;50;16.7;3;0;3
luis-silva;DC;13;13;1042;3;0;0;0.26;0;0;0;0;25;8;32;12;2;37;5
gabriel-torres;COL;7;5;507;3;0;0;0.53;0;1;1;0;15;4;26.7;20;4;0;4
josh-williams;CLB;27;25;2284;3;0;0;0.12;0;0;0;0;21;8;38.1;14.3;0;0;3
juan-agudelo;CHV;6;4;381;2;0;0;0.47;0;0;0;0;7;2;28.6;28.6;1;0;3
carlos-alvarez;CHV;29;26;2182;2;0;0;0.08;0;0;0;0;35;10;28.6;5.7;4;23;5
juan-luis-anangono;CHI;13;9;839;2;0;0;0.21;0;0;0;0;34;10;29.4;5.9;7;0;3
chad-barrett;NE;19;8;622;2;0;0;0.29;0;0;0;0;11;5;45.5;18.2;1;0;4
tristan-bowen;CHV;22;15;1173;2;0;0;0.15;0;0;0;0;32;7;21.9;6.3;1;0;4
justin-braun;TOR;21;8;779;2;0;0;0.23;0;0;0;0;12;5;41.7;16.7;9;0;4
jeb-brovsky;MTL;30;29;2610;2;0;0;0.07;0;0;0;0;14;6;42.9;14.3;1;0;4
brian-carroll;PHI;33;33;2969;2;0;0;0.06;0;0;0;0;16;5;31.3;12.5;2;0;3
fabian-castillo;DAL;33;26;2176;2;0;0;0.08;0;0;0;0;45;16;35.6;4.4;17;8;8
sam-cronin;SJ;34;34;2971;2;0;0;0.06;0;0;0;0;28;7;25;7.1;0;19;6
bryan-de-la-fuente;CHV;11;11;884;2;0;0;0.2;0;0;0;0;8;3;37.5;25;2;1;2
nick-deleon;DC;25;23;1912;2;0;0;0.09;0;0;0;0;37;13;35.1;5.4;5;4;3
maicon-santos;CHI;15;1;379;2;0;0;0.47;0;0;0;0;20;5;25;10;6;0;4
