name;club;games_played;games_started;mins;goals;left_footed_shots;right_footed_shots;goals_average_over_90_minutes;headed_shots;penalty_kick_goals;penalty_kick_taken;expected_goals;total_scoring_attempts;on_target_scoring_attempts;accurate_shooting_percentage;shots_conversion;offside;corner_kicks;goals_plus_assists
chris-wondolowski;SJ;28;26;2308;18;0;0;0.7;0;3;3;0;68;36;0;26.5;18;0;19
edson-buddle;LA;25;25;2109;17;0;0;0.73;0;0;0;0;96;43;0;17.7;27;0;19
dwayne-de-rosario;TOR;27;24;2226;15;0;0;0.61;0;3;3;0;72;36;0;20.8;41;0;18
omar-cummings;COL;29;28;2471;14;0;0;0.51;0;0;0;0;76;37;0;18.4;25;0;17
sebastien-le-toux;PHI;28;28;2520;14;0;0;0.5;0;3;3;0;90;48;0;15.6;27;0;25
juan-pablo-angel;RBNY;30;29;2593;13;0;0;0.45;0;4;5;0;98;40;0;13.3;50;0;17
conor-casey;COL;27;26;2289;13;0;0;0.51;0;3;3;0;69;28;0;18.8;19;0;19
alvaro-saborio;RSL;27;23;1988;12;0;0;0.54;0;2;2;0;51;22;0;23.5;21;0;16
jeff-cunningham;DAL;27;13;1464;11;0;0;0.68;0;4;4;0;58;25;0;19;27;0;12
kei-kamara;SKC;29;27;2418;10;0;0;0.37;0;0;0;0;91;33;0;11;16;0;16
fredy-montero;SEA;29;27;2353;10;0;0;0.38;0;0;0;0;91;34;0;11;16;0;20
steve-zakuani;SEA;29;27;2285;10;0;0;0.39;0;0;0;0;41;21;0;24.4;17;0;16
guillermo-barros-schelotto;CLB;29;29;2545;9;0;0;0.32;0;5;6;0;62;27;0;14.5;25;0;17
justin-braun;CHV;28;24;2118;9;0;0;0.38;0;0;0;0;62;25;0;14.5;21;0;12
david-ferreira;DAL;30;30;2699;8;0;0;0.27;0;4;5;0;54;26;0;14.8;11;0;21
chad-barrett;TOR;23;18;1545;7;0;0;0.41;0;0;0;0;32;16;0;21.9;12;0;9
brian-ching;HOU;20;16;1425;7;0;0;0.44;0;0;0;0;25;9;0;28;18;0;10
landon-donovan;LA;24;24;2141;7;0;0;0.29;0;3;4;0;44;20;0;15.9;14;0;23
