name;club;games_played;games_started;mins;completed_passes;total_pass;accurate_pass;key_passes;corner_kicks;succesfull_crosses;assists;assists_average_over_90_minutes;accurate_long_balls;succesfull_short_passes;cross_perc;free_kicks
dax-mccarty;RBNY;33;33;2918;1845;2138;86.3;28;8;7;3;0.09;211;1634;25.93;0
kyle-beckerman;RSL;30;29;2592;1727;1988;86.9;29;34;10;4;0.14;157;1570;17.86;0
jeff-larentowicz;COL;32;32;2779;1637;1943;84.3;18;0;0;0;0;211;1426;0;0
osvaldo-alonso;SEA;30;30;2688;1522;1779;85.5;23;0;4;2;0.07;231;1291;30.77;0
juninho;LA;32;30;2666;1433;1650;86.8;21;20;11;4;0.14;123;1310;33.33;0
drew-moor;COL;34;34;3060;1390;1649;84.3;13;1;7;2;0.06;168;1222;28;0
james-riley;CHV;32;32;2879;1374;1639;83.8;27;0;33;2;0.06;111;1263;34.74;0
corey-ashe;HOU;30;30;2625;1336;1573;84.9;25;6;19;2;0.07;80;1256;19;0
matt-besler;SKC;31;30;2769;1319;1546;85.3;17;0;5;2;0.07;277;1042;50;0
markus-holgersson;RBNY;31;31;2790;1316;1569;83.9;1;0;1;0;0;218;1098;16.67;0
bobby-boswell;HOU;33;33;2930;1284;1597;80.4;13;0;3;1;0.03;146;1138;30;0
javier-morales;RSL;29;23;2118;1247;1489;83.8;72;97;55;9;0.38;79;1168;30.56;0
brian-carroll;PHI;33;32;2898;1234;1459;84.6;16;2;3;1;0.03;97;1137;33.33;0
sam-cronin;SJ;31;30;2578;1233;1551;79.5;24;1;4;6;0.21;184;1049;16.67;0
jermaine-taylor;HOU;27;26;2334;1227;1463;83.9;12;0;9;1;0.04;150;1077;34.62;0
chris-wingert;RSL;31;30;2603;1203;1455;82.7;13;1;4;2;0.07;143;1060;10.26;0
patrice-bernier;MTL;27;25;2194;1199;1434;83.6;27;15;9;8;0.33;176;1023;36;0
rafael-baca;SJ;33;31;2551;1192;1396;85.4;35;23;18;4;0.14;87;1105;27.69;0
jack-jewsbury;POR;32;31;2765;1173;1407;83.4;35;55;28;4;0.13;123;1050;29.47;0
brad-davis;HOU;31;28;2523;1161;1356;85.6;59;112;83;12;0.43;80;1081;34.58;0
martin-rivero;COL;30;30;2597;1150;1390;82.7;73;116;60;8;0.28;97;1053;33.9;0
lee-young-pyo;VAN;33;33;2970;1128;1376;82;29;0;19;4;0.12;76;1052;22.09;0
tony-beltran;RSL;32;32;2857;1118;1355;82.5;10;0;5;2;0.06;80;1038;9.62;0
adam-moffat;HOU;23;22;1930;1112;1310;84.9;11;4;4;3;0.14;203;909;23.53;0
carlos-valdes-x0274;PHI;33;33;2923;1105;1349;81.9;6;0;2;0;0;102;1003;50;0
sean-franklin;LA;34;33;2937;1085;1353;80.2;20;0;18;5;0.15;49;1036;28.57;0
aurelien-collin;SKC;29;28;2490;1082;1378;78.5;6;0;0;1;0.04;240;842;0;0
justin-morrow;SJ;33;33;2970;1077;1274;84.5;19;0;19;4;0.12;61;1016;26.39;0
diego-chara;POR;28;28;2473;1072;1246;86;31;0;1;0;0;96;976;7.69;0
darlington-nagbe;POR;33;31;2777;1056;1210;87.3;38;0;0;2;0.06;35;1021;0;0
michael-farfan;PHI;32;31;2802;1052;1384;76;35;40;28;5;0.16;73;979;29.17;0
pavel-pardo;CHI;28;27;2386;1047;1264;82.8;35;64;34;4;0.15;111;936;35.05;0
collen-warner;MTL;29;27;2431;1047;1256;83.4;22;1;2;1;0.04;130;917;28.57;0
brandon-mcdonald;DC;33;33;2963;1039;1400;74.2;8;0;3;4;0.12;211;828;30;0
andre-hainault;HOU;25;24;2035;1028;1257;81.8;12;0;9;3;0.13;90;938;18;0
marvell-wynne;COL;28;28;2520;1018;1198;85;7;0;0;0;0;105;913;0;0
graham-zusi;SKC;32;31;2788;1015;1312;77.4;88;150;96;15;0.48;142;873;38.55;0
chris-tierney;NE;28;26;2379;1012;1330;76.1;39;57;40;5;0.19;94;918;22.86;0
david-beckham;LA;24;23;1985;1010;1343;75.2;45;119;52;9;0.41;123;887;21.94;0
eddie-gaven;CLB;34;34;2990;1001;1217;82.3;47;2;21;2;0.06;38;963;28;0
jun-marques-davidson;VAN;24;24;2115;985;1144;86.1;7;0;0;0;0;85;900;0;0
felipe-martins;MTL;30;30;2652;981;1229;79.8;50;55;23;10;0.34;76;905;24.47;0
steven-beitashour;SJ;33;33;2955;966;1278;75.6;22;4;23;6;0.18;66;900;20.35;0
terry-dunfield;TOR;30;30;2493;962;1170;82.2;31;23;25;0;0;118;844;49.02;0
marcelo-sarvas;LA;27;22;1951;961;1157;83.1;24;4;4;2;0.09;88;873;23.53;0
perry-kitchen;DC;32;32;2804;959;1209;79.3;11;0;1;1;0.03;115;844;33.33;0
amobi-okugo;PHI;27;24;2230;953;1100;86.6;9;0;0;1;0.04;77;876;0;0
gonzalo-segares;CHI;31;31;2682;953;1175;81.1;22;0;11;1;0.03;68;885;26.19;0
clyde-simms;NE;29;29;2303;946;1103;85.8;9;0;2;1;0.04;57;889;25;0
logan-pause;CHI;32;31;2424;934;1063;87.9;8;0;1;0;0;89;845;20;0
seth-sinovic;SKC;30;30;2621;921;1134;81.2;12;0;12;2;0.07;48;873;21.05;0
milovan-mirosevic;CLB;26;25;2140;920;1174;78.4;26;22;11;2;0.08;82;838;34.38;0
alain-rochat;VAN;27;27;2323;920;1201;76.6;16;0;4;2;0.08;66;854;16.67;0
gershon-koffie;VAN;29;28;2503;919;1130;81.3;20;0;2;2;0.07;111;808;22.22;0
jalil-anibaba;CHI;33;32;2867;916;1172;78.2;8;0;7;1;0.03;141;775;14.89;0
todd-dunivant;LA;29;29;2544;914;1248;73.2;12;0;10;2;0.07;64;850;19.23;0
matteo-ferrari;MTL;25;23;2029;913;1057;86.4;3;0;0;0;0;105;808;0;0
benny-feilhaber;NE;29;23;2147;908;1182;76.8;44;32;14;2;0.08;97;811;24.56;0
ante-jazic;CHV;27;27;2379;903;1124;80.3;14;0;25;0;0;38;865;27.47;0
nat-borchers;RSL;26;26;2340;893;995;89.8;5;0;0;0;0;82;811;0;0
luis-zapata;COL;27;26;2336;893;1080;82.7;18;0;16;1;0.04;51;842;21.05;0
chance-myers;SKC;30;28;2538;891;1108;80.4;28;0;23;7;0.25;58;833;23;0
sebastian-miranda;CLB;33;33;2882;890;1209;73.6;18;0;17;1;0.03;82;808;29.31;0
simon-dawkins;SJ;27;21;1846;881;1008;87.4;25;15;9;1;0.05;46;835;27.27;0
lee-nguyen;NE;30;27;2386;879;1079;81.5;48;35;20;2;0.08;35;844;30.77;0
brad-evans;SEA;29;29;2371;873;1105;79;15;2;9;4;0.15;43;830;27.27;0
roger-espinoza;SKC;26;26;2275;864;1142;75.7;42;2;17;2;0.08;108;756;30.91;0
jair-benitez;DAL;28;27;2397;853;1125;75.8;25;9;23;1;0.04;108;745;26.14;0
davy-arnaud;MTL;33;31;2765;852;1088;78.3;28;2;11;3;0.1;51;801;21.57;0
austin-berry;CHI;28;28;2520;849;998;85.1;3;0;0;0;0;107;742;0;0
landon-donovan;LA;26;25;2256;845;1049;80.5;66;36;25;14;0.56;52;793;30.12;0
oswaldo-minda;CHV;22;20;1748;835;971;86;13;5;5;0;0;117;718;26.32;0
sheanon-williams;PHI;28;28;2486;834;1040;80.2;22;1;19;2;0.07;40;794;30.16;0
jeb-brovsky;MTL;28;25;2233;833;1022;81.5;11;0;11;1;0.04;69;764;19.3;0
josh-williams;CLB;30;27;2429;828;996;83.1;14;0;3;3;0.11;77;751;25;0
heath-pearce;RBNY;18;18;1604;822;947;86.8;4;0;2;0;0;107;715;18.18;0
