name;club;games_played;games_started;mins;completed_passes;total_pass;accurate_pass;key_passes;corner_kicks;succesfull_crosses;assists;assists_average_over_90_minutes;accurate_long_balls;succesfull_short_passes;cross_perc;free_kicks
vardan-adzemian;LA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
charles-alamo;LA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chris-albright;NE;26;26;2340;0;0;0;0;0;0;0;0;0;0;0;0
johnny-alcaraz;HOU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ely-allen;LA;12;11;848;0;0;0;0;0;0;1;0.11;0;0;0;0
;RBNY;8;7;665;0;0;0;0;0;0;1;0.14;0;0;0;0
arturo-alvarez;SJ;12;11;864;0;0;0;0;0;0;3;0.31;0;0;0;0
arturo-alvarez;DAL;16;10;931;0;0;0;0;0;0;3;0.29;0;0;0;0
ricardinho;DAL;7;1;137;0;0;0;0;0;0;1;0.66;0;0;0;0
alvaro-pires;LA;19;16;1253;0;0;0;0;0;0;1;0.07;0;0;0;0
juan-pablo-angel;RBNY;23;22;1955;0;0;0;0;0;0;3;0.14;0;0;0;0
mikel-arce;SJ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
davy-arnaud;SKC;24;22;2019;0;0;0;0;0;0;3;0.13;0;0;0;0
corey-ashe;HOU;22;8;847;0;0;0;0;0;0;1;0.11;0;0;0;0
nana-attakora;TOR;5;3;318;0;0;0;0;0;0;0;0;0;0;0;0
eric-avila;DAL;14;3;508;0;0;0;0;0;0;2;0.35;0;0;0;0
jay-ayres;SJ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
gabriel-badilla;NE;6;5;423;0;0;0;0;0;0;0;0;0;0;0;0
mehdi-ballouchy;COL;19;12;1200;0;0;0;0;0;0;4;0.3;0;0;0;0
mike-banner;CHI;11;2;288;0;0;0;0;0;0;0;0;0;0;0;0
jeremy-barlow;LA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jeremy-barlow;DC;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
wade-barrett;HOU;26;26;2328;0;0;0;0;0;0;0;0;0;0;0;0
chad-barrett;TOR;13;13;998;0;0;0;0;0;0;3;0.27;0;0;0;0
