name;club;games_played;games_started;mins;clean_sheet;goals_against;goalkeeper_saves;accurate_pass;long_ball_percentage;clearances;total_wins;total_losses;total_draws
sergio-arias;CHV;0;0;0;0;0;0;0;0;0;0;0;0
david-bingham;SJ;1;1;90;0;1;4;44.4;42.3;1;1;0;0
terry-boss;SEA;0;0;0;0;0;0;0;0;0;0;0;0
adin-brown;POR;2;2;135;0;4;5;50;45.5;1;0;2;0
ray-burse;CLB;0;0;0;0;0;0;0;0;0;0;0;0
jon-busch;SJ;33;33;2970;7;44;113;44;37.6;26;7;12;14
joe-cannon;VAN;20;20;1800;3;32;66;51;40.9;11;4;12;4
steward-ceus;COL;0;0;0;0;0;0;0;0;0;0;0;0
jon-conway;CHI;6;6;540;1;8;15;43.5;27;9;0;2;4
bouna-coundoul;RBNY;12;11;1035;3;13;37;60.4;34.9;15;3;3;6
steve-cronin;DC;2;0;126;0;4;6;44.4;33.3;3;0;0;2
tyler-deric;HOU;0;0;0;0;0;0;0;0;0;0;0;0
;DAL;0;0;0;0;0;0;0;0;0;0;0;0
alec-dufty;CHI;0;0;0;0;0;0;0;0;0;0;0;0
josh-ford;SEA;0;0;0;0;0;0;0;0;0;0;0;0
stefan-frei;TOR;27;27;2406;6;49;107;64.9;47.1;36;4;12;11
jake-gleeson;POR;4;3;315;0;6;12;32.1;30.8;8;2;1;1
andy-gruenebaum;CLB;2;2;180;2;0;5;50;37;2;2;0;0
kevin-guppy;LA;0;0;0;0;0;0;0;0;0;0;0;0
kevin-guppy;POR;0;0;0;0;0;0;0;0;0;0;0;0
tally-hall;HOU;34;34;3060;6;41;100;50.3;36.3;18;12;9;13
bill-hamid;DC;28;28;2392;7;37;79;44.6;33.8;25;7;9;12
chase-harrison;PHI;0;0;0;0;0;0;0;0;0;0;0;0
kevin-hartman;DAL;33;33;2970;13;35;85;55.6;45.2;48;15;11;7
william-hesmer;CLB;32;32;2880;8;44;92;49.5;39.5;18;11;13;8
thorne-holder;PHI;0;0;0;0;0;0;0;0;0;0;0;0
alex-horwath;RBNY;1;1;90;1;0;4;35.3;8.3;1;0;0;1
sean-johnson;CHI;28;28;2520;7;37;73;37.8;28.9;37;9;7;12
ian-joyce;COL;0;0;0;0;0;0;0;0;0;0;0;0
kasey-keller;SEA;34;34;3060;9;37;112;48.3;38.5;25;18;7;9
jon-kempin;SKC;0;0;0;0;0;0;0;0;0;0;0;0
dan-kennedy;CHV;32;32;2880;9;39;101;65.8;47.4;35;8;12;12
milos-kocic;TOR;8;7;654;1;10;27;55.4;39.4;12;3;1;4
chris-konopka;CLB;0;0;0;0;0;0;0;0;0;0;0;0
eric-kronberg;SKC;4;3;292;1;5;10;55.8;50;1;1;1;2
josh-lambo;DAL;0;0;0;0;0;0;0;0;0;0;0;0
zac-macmath;PHI;8;7;675;3;8;17;43.6;28.8;12;3;1;4
jimmy-maurer;RBNY;0;0;0;0;0;0;0;0;0;0;0;0
tim-melia;RSL;0;0;0;0;0;0;0;0;0;0;0;0
bryan-meredith;SEA;0;0;0;0;0;0;0;0;0;0;0;0
faryd-mondragon;PHI;27;27;2385;7;28;50;51.8;36.9;16;8;8;11
tim-murray;NE;0;0;0;0;0;0;0;0;0;0;0;0
jimmy-nielsen;SKC;31;31;2767;7;35;81;63;44.6;19;12;8;11
jay-nolly;VAN;14;14;1260;2;23;39;51.7;40;21;2;6;6
pat-onstad;DC;3;3;270;0;7;8;40;37.3;2;1;2;0
brian-perk;LA;1;1;90;1;0;2;42.9;35.3;0;0;0;1
troy-perkins;POR;29;29;2610;9;38;91;40.3;33.7;35;9;12;8
matt-pickens;COL;34;34;3060;8;41;77;54.5;37.4;38;12;9;13
matt-reis;NE;27;27;2429;5;43;111;46.9;36;22;5;12;10
kyle-reynish;RSL;1;1;90;1;0;2;22.2;14.3;1;1;0;0
donovan-ricketts;LA;15;15;1284;7;11;41;46.3;36.7;14;7;3;5
alex-riggs;CLB;0;0;0;0;0;0;0;0;0;0;0;0
nick-rimando;RSL;33;33;2970;13;36;92;64.9;46.3;25;14;11;8
frank-rost;RBNY;11;11;945;5;14;27;51.5;33.3;15;4;4;3
richard-sanchez;DAL;0;0;0;0;0;0;0;0;0;0;0;0
josh-saunders;LA;19;18;1639;8;17;55;57.7;40.2;24;12;2;5
chris-seitz;DAL;1;1;90;0;4;5;38.9;31.3;2;0;1;0
chris-sharpe;COL;0;0;0;0;0;0;0;0;0;0;0;0
bobby-shuttleworth;NE;7;7;630;0;15;17;46.8;30.8;4;0;4;3
greg-sutton;RBNY;10;10;900;2;15;31;56.4;28;12;3;2;5
brian-sylvestre;VAN;0;0;0;0;0;0;0;0;0;0;0;0
zach-thornton;CHV;2;2;180;0;4;3;70.6;47.1;1;0;2;0
andrew-weber;SJ;0;0;0;0;0;0;0;0;0;0;0;0
joe-willis;DC;3;3;270;1;4;12;56.9;46.3;2;1;2;0
