name;club;games_played;games_started;mins;clean_sheet;goals_against;goalkeeper_saves;accurate_pass;long_ball_percentage;clearances;total_wins;total_losses;total_draws
william-hesmer;CLB;30;30;2700;11;33;84;0;0;0;14;8;8
terry-boss;SEA;1;0;45;0;1;1;0;0;0;13;9;6
preston-burpo;NE;11;11;939;2;16;48;0;0;0;3;6;2
jon-busch;SJ;18;18;1620;7;19;81;0;0;0;13;9;7
joe-cannon;SJ;12;12;1080;6;14;38;0;0;0;7;6;5
steward-ceus;COL;0;0;0;0;0;0;0;0;0;0;1;1
jon-conway;TOR;1;1;72;0;1;2;0;0;0;8;13;8
bouna-coundoul;RBNY;27;27;2430;11;28;105;0;0;0;14;8;5
tyler-deric;HOU;2;2;180;1;1;8;0;0;0;4;4;2
andrew-dykstra;CHI;17;17;1530;5;21;55;0;0;0;9;12;9
stefan-frei;TOR;28;28;2520;8;37;108;0;0;0;9;13;7
andy-gruenebaum;CLB;0;0;0;0;0;0;0;0;0;10;8;6
kevin-guppy;CHV;1;1;90;0;3;6;0;0;0;2;7;0
tally-hall;HOU;5;5;450;1;8;18;0;0;0;6;12;5
bill-hamid;DC;8;8;720;1;10;20;0;0;0;4;15;3
kevin-hartman;DAL;20;20;1755;9;12;56;0;0;0;10;3;12
sean-johnson;CHI;13;13;1170;3;17;52;0;0;0;8;11;8
ian-joyce;COL;1;1;90;1;0;4;0;0;0;12;5;9
kasey-keller;SEA;30;30;2655;11;34;82;0;0;0;14;10;6
jon-kempin;SKC;0;0;0;0;0;0;0;0;0;1;0;0
dan-kennedy;CHV;7;6;594;0;8;22;0;0;0;4;6;2
brad-knighton;PHI;8;8;652;2;8;23;0;0;0;8;14;6
milos-kocic;TOR;2;1;107;0;3;5;0;0;0;1;1;1
eric-kronberg;SKC;1;1;90;0;1;3;0;0;0;11;13;6
josh-lambo;DAL;0;0;0;0;0;0;0;0;0;0;0;3
tim-melia;RSL;0;0;0;0;0;0;0;0;0;1;1;1
tim-murray;NE;0;0;0;0;0;0;0;0;0;4;3;0
jimmy-nielsen;SKC;29;29;2610;10;34;80;0;0;0;11;13;6
pat-onstad;HOU;23;23;2070;4;40;49;0;0;0;8;14;5
brian-perk;LA;0;0;0;0;0;0;0;0;0;0;0;0
brian-perk;PHI;0;0;0;0;0;0;0;0;0;0;1;0
troy-perkins;DC;22;22;1980;5;37;72;0;0;0;6;20;4
matt-pickens;COL;29;29;2610;7;32;88;0;0;0;11;8;10
;DC;0;0;0;0;0;0;0;0;0;0;1;0
matt-reis;NE;14;14;1260;3;25;51;0;0;0;5;7;3
kyle-reynish;RSL;3;3;270;1;2;11;0;0;0;14;3;10
donovan-ricketts;LA;29;29;2610;11;26;79;0;0;0;18;7;4
nick-rimando;RSL;27;27;2430;14;18;78;0;0;0;15;4;11
dario-sala;DAL;11;10;945;1;16;34;0;0;0;12;4;11
josh-saunders;LA;1;1;90;1;0;1;0;0;0;18;7;5
kenny-schoeni;CLB;0;0;0;0;0;0;0;0;0;4;0;2
chris-seitz;PHI;23;22;2047;0;41;68;0;0;0;8;15;7
bobby-shuttleworth;NE;6;5;501;1;9;18;0;0;0;9;16;5
greg-sutton;RBNY;3;3;270;2;1;9;0;0;0;15;9;6
zach-thornton;CHV;23;23;2015;6;33;63;0;0;0;7;16;3
andrew-weber;SJ;0;0;0;0;0;0;0;0;0;0;1;0
josh-wicks;DC;0;0;0;0;0;0;0;0;0;0;0;0
chase-harrison;CLB;0;0;0;0;0;0;0;0;0;0;0;0
