name;club;games_played;games_started;mins;clean_sheet;goals_against;goalkeeper_saves;accurate_pass;long_ball_percentage;clearances;total_wins;total_losses;total_draws
scott-angevine;POR;0;0;0;0;0;0;0;0;0;0;0;0
scott-angevine;SKC;0;0;0;0;0;0;0;0;0;0;0;0
joe-bendik;POR;5;3;326;0;8;12;53.6;46.5;4;0;2;3
david-bingham;SJ;3;2;225;0;3;9;55.3;41.4;2;2;1;0
jon-busch;SJ;32;32;2835;7;40;77;48.3;41.1;28;18;5;9
evan-bush;MTL;1;1;90;0;3;4;55;46.1;0;0;1;0
joe-cannon;VAN;26;26;2277;8;34;73;46.9;34.5;30;9;10;7
steward-ceus;COL;3;2;201;2;1;4;36.4;25;3;2;1;0
tyler-deric;HOU;1;1;90;0;2;7;36.4;22.2;1;0;1;0
andrew-dykstra;DC;0;0;0;0;0;0;0;0;0;0;0;0
lalo-fernandez;RSL;0;0;0;0;0;0;0;0;0;0;0;0
josh-ford;SEA;0;0;0;0;0;0;0;0;0;0;0;0
stefan-frei;TOR;0;0;0;0;0;0;0;0;0;0;0;0
bill-gaudette;LA;3;3;270;0;4;7;57.6;35;4;0;2;1
bill-gaudette;RBNY;12;12;1080;3;16;32;59;31;10;5;3;4
jake-gleeson;POR;0;0;0;0;0;0;0;0;0;0;0;0
andy-gruenebaum;CLB;33;33;2920;8;41;124;50.3;38.6;36;14;12;7
michael-gspurning;SEA;21;21;1845;8;15;59;52.3;37.9;47;12;4;5
marcus-hahnemann;SEA;0;0;0;0;0;0;0;0;0;0;0;0
tally-hall;HOU;33;33;2946;12;39;90;56.9;42.7;35;14;8;11
freddy-hall;TOR;7;7;630;1;15;27;49.6;34.8;5;0;5;2
bill-hamid;DC;24;24;2087;8;24;89;57.2;36.8;22;13;7;4
chase-harrison;PHI;1;1;90;0;1;2;45.5;0;4;0;0;1
kevin-hartman;DAL;30;30;2700;6;42;99;62.5;48;33;9;11;10
william-hesmer;CLB;0;0;0;0;0;0;0;0;0;0;0;0
sean-johnson;CHI;31;31;2766;5;38;108;61.8;41.6;30;16;10;5
ian-joyce;COL;0;0;0;0;0;0;0;0;0;0;0;0
jon-kempin;SKC;0;0;0;0;0;0;0;0;0;0;0;0
dan-kennedy;CHV;32;32;2880;7;54;109;56.4;40.4;24;7;17;8
brad-knighton;VAN;10;8;782;3;7;27;35.5;26.2;9;3;4;3
milos-kocic;TOR;27;27;2430;3;47;83;52.2;44.8;31;5;16;6
chris-konopka;PHI;1;1;90;0;1;6;52.6;40;1;0;1;0
eric-kronberg;SKC;0;0;0;0;0;0;0;0;0;0;0;0
josh-lambo;DC;0;0;0;0;0;0;0;0;0;0;0;0
matt-lampson;CLB;3;1;140;0;3;7;48.1;45.8;6;2;1;0
zac-macmath;PHI;32;32;2880;8;43;93;54.9;36.4;40;10;17;5
erich-marscheider;HOU;0;0;0;0;0;0;0;0;0;0;0;0
patrick-mclain;CHV;0;0;0;0;0;0;0;0;0;0;0;0
ryan-meara;RBNY;18;18;1620;3;27;61;50;29.8;20;9;5;4
tim-melia;CHV;2;2;180;0;4;9;65.7;52.2;3;0;1;1
bryan-meredith;SEA;12;10;990;3;14;20;54.1;45.2;14;4;3;5
tim-murray;NE;0;0;0;0;0;0;0;0;0;0;0;0
evan-newton;SJ;0;0;0;0;0;0;0;0;0;0;0;0
jimmy-nielsen;SKC;34;34;3060;15;27;79;68;51.6;19;18;7;9
jay-nolly;CHI;0;0;0;0;0;0;0;0;0;0;0;0
brian-perk;LA;4;4;360;0;7;7;49.2;31.9;2;0;3;1
troy-perkins;POR;22;22;1957;3;35;66;42;32.5;25;5;12;5
troy-perkins;MTL;9;9;810;4;8;37;59.3;43.5;7;3;3;3
matt-pickens;COL;32;32;2859;7;49;108;55.8;36.3;58;9;19;4
matt-reis;NE;27;27;2430;6;39;92;62.9;45;24;6;14;7
kyle-reynish;RSL;3;3;270;2;2;6;48.9;35.3;0;1;0;2
donovan-ricketts;MTL;24;24;2136;3;39;63;51.1;30;17;9;12;3
donovan-ricketts;POR;9;9;777;2;13;27;37.9;25.4;12;3;3;3
nick-rimando;RSL;31;31;2790;12;33;83;64.1;45;41;16;11;4
quillan-roberts;TOR;0;0;0;0;0;0;0;0;0;0;0;0
luis-robles;RBNY;4;4;360;2;3;9;58.6;44.7;0;2;1;1
brian-rowe;LA;0;0;0;0;0;0;0;0;0;0;0;0
brian-rowe;POR;0;0;0;0;0;0;0;0;0;0;0;0
brian-rowe;TOR;0;0;0;0;0;0;0;0;0;0;0;0
brian-rowe;PHI;0;0;0;0;0;0;0;0;0;0;0;0
richard-sanchez;DAL;0;0;0;0;0;0;0;0;0;0;0;0
josh-saunders;LA;27;27;2430;9;36;81;48.6;27.6;34;16;7;4
chris-seitz;DAL;4;4;360;0;5;10;58.2;43.8;4;0;2;2
bobby-shuttleworth;NE;7;7;630;3;5;23;50.7;36.5;9;3;3;1
greg-sutton;MTL;1;0;24;0;1;0;50;0;0;0;1;0
brian-sylvestre;VAN;0;0;0;0;0;0;0;0;0;0;0;0
paolo-tornaghi;CHI;3;3;270;1;3;14;41;19.1;3;1;1;1
jeremy-vuolo;RBNY;0;0;0;0;0;0;0;0;0;0;0;0
andrew-weber;SEA;3;3;225;0;4;6;58.5;46.9;3;0;1;2
joe-willis;DC;11;10;972;2;19;31;42.3;31.4;12;4;4;3
