name;club;games_played;games_started;mins;clean_sheet;goals_against;goalkeeper_saves;accurate_pass;long_ball_percentage;clearances;total_wins;total_losses;total_draws
scott-angevine;POR;0;0;0;0;0;0;0;0;0;0;0;0
jeff-attinella;RSL;5;4;399;1;9;14;38.5;24.7;7;2;2;1
;CHI;0;0;0;0;0;0;0;0;0;0;0;0
joe-bendik;TOR;33;33;2969;4;46;91;43.9;34.5;38;6;16;11
david-bingham;SJ;1;1;90;0;1;7;50;50;4;1;0;0
jon-busch;SJ;33;33;2970;9;41;102;50.4;43.4;33;13;11;9
evan-bush;MTL;1;1;90;0;1;6;66.7;50;0;0;1;0
joe-cannon;VAN;10;10;900;1;14;31;46.5;31;20;3;4;3
santiago-castano;RBNY;0;0;0;0;0;0;0;0;0;0;0;0
steward-ceus;COL;1;1;90;0;1;5;53.9;33.3;0;0;1;0
maxime-crepeau;MTL;0;0;0;0;0;0;0;0;0;0;0;0
carlo-cudicini;LA;21;21;1890;7;27;41;58.3;42.1;21;9;8;4
tyler-deric;HOU;0;0;0;0;0;0;0;0;0;0;0;0
andrew-dykstra;DC;0;0;0;0;0;0;0;0;0;0;0;0
raul-fernandez;DAL;26;26;2340;7;41;90;49.5;35.1;25;7;10;9
lalo-fernandez;RSL;0;0;0;0;0;0;0;0;0;0;0;0
josh-ford;SEA;0;0;0;0;0;0;0;0;0;0;0;0
stefan-frei;TOR;1;1;90;0;1;2;52.9;53.9;0;0;1;0
jake-gleeson;POR;0;0;0;0;0;0;0;0;0;0;0;0
jesse-gonzalez;DAL;0;0;0;0;0;0;0;0;0;0;0;0
andy-gruenebaum;CLB;21;21;1890;4;28;71;44.2;35.7;15;5;11;5
michael-gspurning;SEA;28;28;2475;10;35;76;59.4;40.4;29;12;10;6
marcus-hahnemann;SEA;4;4;360;1;4;6;50.8;41.2;5;2;2;0
tally-hall;HOU;34;34;3060;9;41;96;48.8;35.1;33;14;11;9
bill-hamid;DC;25;25;2250;4;39;80;54.4;33.5;29;2;17;6
kevin-hartman;RBNY;0;0;0;0;0;0;0;0;0;0;0;0
;SEA;0;0;0;0;0;0;0;0;0;0;0;0
clint-irwin;COL;32;31;2873;10;35;92;52.7;45.5;33;14;9;9
sean-johnson;CHI;28;28;2520;6;39;94;42;32.3;41;12;10;6
alec-kann;CHI;0;0;0;0;0;0;0;0;0;0;0;0
jon-kempin;SKC;0;0;0;0;0;0;0;0;0;0;0;0
dan-kennedy;CHV;31;31;2754;3;54;107;49.9;34.9;44;6;17;8
brad-knighton;VAN;11;11;990;2;15;35;36.8;26.6;7;6;3;2
milos-kocic;POR;2;2;180;1;2;7;48.2;30.9;4;1;0;1
chris-konopka;PHI;0;0;0;0;0;0;0;0;0;0;0;0
eric-kronberg;SKC;0;0;0;0;0;0;0;0;0;0;0;0
matt-lampson;CLB;13;13;1170;5;18;43;45.8;36.9;14;7;6;0
zac-macmath;PHI;34;34;3060;12;44;100;47.1;36.9;44;12;12;10
erich-marscheider;HOU;0;0;0;0;0;0;0;0;0;0;0;0
patrick-mclain;CHV;2;1;124;0;6;4;22.7;11.8;1;0;2;0
ryan-meara;RBNY;0;0;0;0;0;0;0;0;0;0;0;0
tim-melia;CHV;2;2;180;0;7;8;63;30.8;1;0;2;0
;POR;0;0;0;0;0;0;0;0;0;0;0;0
evan-newton;SJ;0;0;0;0;0;0;0;0;0;0;0;0
jimmy-nielsen;SKC;34;34;3060;13;30;69;64.8;46.6;25;17;10;7
oka-nikolov;PHI;0;0;0;0;0;0;0;0;0;0;0;0
david-ousted;VAN;13;13;1170;4;16;37;51.7;38.5;14;4;5;4
jaime-penedo;LA;9;9;810;4;7;25;48.5;30.8;12;4;1;4
brian-perk;LA;0;0;0;0;0;0;0;0;0;0;0;0
troy-perkins;MTL;33;33;2970;8;48;112;52.8;31.7;38;14;12;7
matt-pickens;COL;2;2;97;0;2;2;77.8;75;0;0;1;1
matt-reis;NE;12;12;995;5;8;29;63.7;48.6;8;7;1;4
donovan-ricketts;POR;32;32;2880;14;31;92;50.2;35.4;23;13;5;14
nick-rimando;RSL;27;27;2430;9;28;85;56.9;33.4;22;13;7;6
quillan-roberts;TOR;0;0;0;0;0;0;0;0;0;0;0;0
luis-robles;RBNY;34;34;3060;11;41;105;51.3;33;50;17;9;8
brian-rowe;LA;4;4;360;2;4;14;44.4;28.3;13;2;2;0
richard-sanchez;DAL;0;0;0;0;0;0;0;0;0;0;0;0
josh-saunders;RSL;3;3;231;0;4;13;51.1;24.1;9;1;1;1
chris-seitz;DAL;8;8;720;2;11;24;69.8;50;5;4;2;2
bobby-shuttleworth;NE;23;22;2063;9;30;64;54;37.8;28;7;10;5
luis-soffner;NE;0;0;0;0;0;0;0;0;0;0;0;0
brad-stuver;CLB;0;0;0;0;0;0;0;0;0;0;0;0
brad-stuver;CHV;0;0;0;0;0;0;0;0;0;0;0;0
simon-thomas;VAN;0;0;0;0;0;0;0;0;0;0;0;0
paolo-tornaghi;CHI;6;6;540;0;13;12;41;27.6;5;2;3;1
andrew-weber;SEA;3;2;225;0;3;5;55.6;33.3;1;1;1;1
joe-willis;DC;9;9;810;1;20;29;41;27.2;16;1;7;1
daniel-withrow;CLB;0;0;0;0;0;0;0;0;0;0;0;0
kyle-zobeck;DAL;0;0;0;0;0;0;0;0;0;0;0;0
