name;club;games_played;games_started;mins;goals_against;aerial_duels;areial_duel_perc;clearances;fouls;interception
ryan-johnson;TOR;31;31;2769;58;202;42.6;35;46;20
richard-eckersley;TOR;33;32;2802;56;41;41.5;117;37;63
james-riley;CHV;32;32;2879;55;57;63.2;88;25;59
dan-kennedy;CHV;32;32;2880;54;2;100;24;0;0
terry-dunfield;TOR;30;30;2493;51;36;44.4;48;50;41
drew-moor;COL;34;34;3060;50;134;67.2;239;25;103
jack-jewsbury;POR;32;31;2765;49;41;48.8;68;36;66
ashtone-morgan;TOR;30;27;2528;49;34;26.5;68;29;37
darlington-nagbe;POR;33;31;2777;49;67;43.3;19;16;11
matt-pickens;COL;32;32;2859;49;4;100;58;2;0
davy-arnaud;MTL;33;31;2765;47;74;40.5;30;42;41
ante-jazic;CHV;27;27;2379;47;53;54.7;104;8;50
milos-kocic;TOR;27;27;2430;47;5;60;31;0;1
felipe-martins;MTL;30;30;2652;46;18;22.2;14;48;39
miller-bolanos;CHV;24;21;1858;45;17;29.4;7;45;21
sean-franklin;LA;34;33;2937;44;83;49.4;121;22;70
dax-mccarty;RBNY;33;33;2918;44;73;54.8;38;40;68
brian-carroll;PHI;33;32;2898;43;27;40.7;50;37;83
michael-farfan;PHI;32;31;2802;43;51;43.1;33;74;61
eddie-gaven;CLB;34;34;2990;43;139;37.4;44;29;47
zac-macmath;PHI;32;32;2880;43;6;100;40;0;1
brandon-mcdonald;DC;33;33;2963;43;116;64.7;217;29;87
justin-morrow;SJ;33;33;2970;43;78;42.3;139;25;91
steven-beitashour;SJ;33;33;2955;42;51;33.3;98;29;80
jair-benitez;DAL;28;27;2397;42;20;35;49;16;47
a-j-delagarza;LA;30;30;2644;42;56;41.1;132;41;61
kevin-hartman;DAL;30;30;2700;42;3;66.7;33;0;0
nick-labrocca;CHV;29;26;2293;42;32;40.6;19;27;27
martin-rivero;COL;30;30;2597;42;22;27.3;6;23;13
andy-gruenebaum;CLB;33;33;2920;41;4;100;36;2;1
markus-holgersson;RBNY;31;31;2790;41;38;52.6;132;23;87
jeff-larentowicz;COL;32;32;2779;41;66;54.5;76;61;61
carlos-valdes-x0274;PHI;33;33;2923;41;89;65.2;239;36;126
marvell-wynne;COL;28;28;2520;41;77;54.5;163;13;77
jon-busch;SJ;32;32;2835;40;7;85.7;28;1;0
diego-chara;POR;28;28;2473;40;27;37;15;72;56
luis-zapata;COL;27;26;2336;40;35;45.7;73;33;70
jalil-anibaba;CHI;33;32;2867;39;89;46.1;167;22;74
rafael-baca;SJ;33;31;2551;39;21;33.3;23;21;55
bobby-boswell;HOU;33;33;2930;39;82;54.9;147;22;87
tally-hall;HOU;33;33;2946;39;1;0;35;0;1
andrew-jacobson;DAL;31;31;2597;39;187;62;71;47;45
perry-kitchen;DC;32;32;2804;39;66;54.5;66;43;50
lee-young-pyo;VAN;33;33;2970;39;34;41.2;91;23;83
zach-loyd;DAL;32;31;2696;39;68;58.8;93;36;48
sebastian-miranda;CLB;33;33;2882;39;54;42.6;174;18;67
matt-reis;NE;27;27;2430;39;4;25;24;0;0
donovan-ricketts;MTL;24;24;2136;39;1;100;17;0;2
a-j-soares;NE;30;30;2611;39;81;56.8;216;29;116
kevin-alston;NE;31;31;2623;38;65;60;115;37;70
jaime-castrillon;COL;30;29;2417;38;84;50;23;41;46
todd-dunivant;LA;29;29;2544;38;43;60.5;102;18;60
sean-johnson;CHI;31;31;2766;38;5;60;30;0;0
reggie-lambe;TOR;27;22;1845;38;22;50;10;24;32
luis-silva;TOR;30;22;2061;38;37;35.1;16;14;27
chris-wondolowski;SJ;32;31;2813;38;119;37.8;24;19;14
juan-agudelo;CHV;20;16;1391;37;41;43.9;17;31;4
patrice-bernier;MTL;27;25;2194;37;20;60;37;43;65
robbie-keane;LA;28;28;2519;37;14;28.6;2;15;4
joel-lindpere;RBNY;34;26;2385;37;25;44;23;33;23
hanyer-mosquera;POR;26;25;2092;37;86;67.4;187;25;69
patrick-nyarko;CHI;34;31;2756;37;65;58.5;25;41;55
sanna-nyassi;MTL;28;17;1716;37;41;24.4;7;47;9
juninho;LA;32;30;2666;37;31;51.6;38;42;74
chris-tierney;NE;28;26;2379;37;49;34.7;66;15;34
sheanon-williams;PHI;28;28;2486;37;69;55.1;92;26;70
landon-donovan;LA;26;25;2256;36;23;30.4;2;33;20
jeremy-hall;TOR;23;19;1706;36;37;62.2;48;14;41
david-horst;POR;21;20;1845;36;77;72.7;189;30;82
brian-mullan;COL;28;25;2116;36;72;29.2;16;26;28
josh-saunders;LA;27;27;2430;36;1;100;34;1;0
gonzalo-segares;CHI;31;31;2682;36;64;34.4;106;30;69
collen-warner;MTL;29;27;2431;36;49;38.8;36;44;56
corey-ashe;HOU;30;30;2625;35;35;45.7;74;28;43
david-beckham;LA;24;23;1985;35;15;53.3;5;28;46
will-bruin;HOU;32;31;2510;35;95;28.4;18;14;4
sam-cronin;SJ;31;30;2578;35;67;32.8;75;36;84
gershon-koffie;VAN;29;28;2503;35;72;52.8;68;59;61
chad-marshall;CLB;24;24;2146;35;93;77.4;229;15;83
stephen-mccarthy;NE;28;27;2308;35;70;80;155;22;72
lee-nguyen;NE;30;27;2386;35;6;33.3;8;31;24
troy-perkins;POR;22;22;1957;35;1;100;25;0;2
joe-cannon;VAN;26;26;2277;34;0;0;30;1;0
kenny-cooper;RBNY;33;26;2505;34;72;34.7;13;36;5
jan-gunnar-solli;RBNY;24;21;1865;34;64;50;34;16;23
josh-williams;CLB;30;27;2429;34;107;57.9;158;30;87
austin-berry;CHI;28;28;2520;33;147;66;266;16;95
brad-davis;HOU;31;28;2523;33;24;45.8;27;40;38
thierry-henry;RBNY;25;24;2108;33;36;58.3;19;18;9
daniel-hernandez;DAL;28;22;1938;33;23;43.5;38;38;70
amobi-okugo;PHI;27;24;2230;33;67;58.2;166;24;100
chris-pontius;DC;31;26;2340;33;91;48.4;24;19;14
nick-rimando;RSL;31;31;2790;33;5;100;41;1;3
alvaro-saborio;RSL;31;26;2390;33;97;46.4;15;35;9
steven-smith;POR;22;22;1875;33;36;36.1;71;11;42
franck-songo-o;POR;27;21;1732;33;65;35.4;8;35;11
kris-boyd;POR;26;22;1893;32;92;33.7;14;33;3
jeb-brovsky;MTL;28;25;2233;32;57;42.1;107;17;65
omar-cummings;COL;28;23;2000;32;22;50;7;18;6
nick-deleon;DC;28;25;2175;32;54;50;42;25;17
jay-demerit;VAN;31;31;2726;32;104;75;239;18;103
jason-hernandez;SJ;25;23;2089;32;67;62.7;164;14;63
shalrie-joseph;CHV;12;12;1080;32;42;64.3;32;13;21
hernan-pertuz;DAL;30;24;2117;32;57;50.9;139;22;61
clyde-simms;NE;29;29;2303;32;45;57.8;34;16;36
eric-avila;TOR;24;16;1366;31;13;38.5;5;14;16
martin-bonjour;VAN;28;27;2396;31;51;45.1;180;43;43
dwayne-de-rosario;DC;26;25;2195;31;41;29.3;3;36;25
benny-feilhaber;NE;29;23;2147;31;15;40;19;29;32
andre-hainault;HOU;25;24;2035;31;77;61;95;25;56
oswaldo-minda;CHV;22;20;1748;31;17;41.2;23;41;32
pavel-pardo;CHI;28;27;2386;31;20;45;37;19;39
blas-perez;DAL;20;19;1705;31;114;52.6;29;33;6
alain-rochat;VAN;27;27;2323;31;63;69.8;121;38;74
saer-sene;NE;25;23;1934;31;23;17.4;6;20;8
chris-wingert;RSL;31;30;2603;31;44;59.1;102;34;63
tony-beltran;RSL;32;32;2857;30;53;35.9;107;28;63
danny-califf;CHV;19;19;1674;30;42;47.6;134;16;25
jun-marques-davidson;VAN;24;24;2115;30;67;53.7;81;36;64
torsten-frings;TOR;20;20;1669;30;13;84.6;25;20;34
matt-hedges;DAL;28;23;2022;30;90;52.2;187;20;83
kosuke-kimura;POR;17;16;1376;30;34;44.1;71;7;28
milovan-mirosevic;CLB;26;25;2140;30;37;48.6;31;27;31
logan-pause;CHI;32;31;2424;30;41;43.9;59;11;92
eric-alexander;POR;24;14;1302;29;18;61.1;16;15;14
logan-emory;TOR;23;19;1621;29;61;63.9;107;27;40
jackson-goncalves;DAL;21;18;1732;29;22;27.3;16;46;16
connor-lade;RBNY;26;22;2088;29;44;25;43;27;68
mike-magee;LA;29;24;2078;29;47;40.4;19;20;18
justin-mapp;MTL;27;21;1641;29;17;23.5;4;8;19
roy-miller;RBNY;24;20;1662;29;29;69;53;14;37
john-valencia;CHV;14;14;1219;29;44;54.5;124;17;38
osvaldo-alonso;SEA;30;30;2688;28;37;64.9;54;37;109
victor-bernardez;SJ;24;24;2089;28;87;58.6;212;31;77
matteo-ferrari;MTL;25;23;2029;28;54;64.8;130;26;66
rauwshan-mckenzie;CHV;20;19;1732;28;24;54.2;112;18;45
adam-moffat;HOU;23;22;1930;28;27;48.1;34;28;43
fredy-montero;SEA;33;28;2576;28;48;37.5;2;63;17
kelyn-rowe;NE;30;21;1897;28;52;34.6;21;19;21
marcelo-sarvas;LA;27;22;1951;28;23;30.4;28;57;56
brad-evans;SEA;29;29;2371;27;99;52.5;43;18;48
hunter-freeman;COL;19;18;1542;27;21;28.6;50;17;46
george-john;DAL;23;19;1755;27;45;55.6;121;25;71
will-johnson;RSL;26;23;2087;27;27;63;53;24;37
ryan-meara;RBNY;18;18;1620;27;1;100;20;0;2
